Fecha valor,Fecha de operación,Importe,Moneda,Concepto,Entidad,Nombre de producto,Tipo de producto,Tipo de movimiento,Categoría,Nota
1/05/22,1/05/22,"0,21",EUR,Intereses a su favor,Ing Direct,Cuenta NARANJA,Cuenta,Ingreso,Rendimientos,
1/05/22,1/05/22,"0,02",EUR,Intereses a su favor,Ing Direct,Imprevistos,Cuenta,Ingreso,Rendimientos,
30/04/22,30/04/22,"-30,00",EUR,Transferencia bizum emitida,Ing Direct,Cuenta NÓMINA Principal,Cuenta,Gasto,Estudios,Clases lucia plazad
30/04/22,,"-154,94",EUR,Pago en avda union europea,Ing Direct,Tarjeta Crédito,Tarjeta de crédito,Gasto,Supermercado,Autorizacion
29/04/22,29/04/22,"-723,12",EUR,Recibo wizink bank s.a.u.,Ing Direct,Cuenta NÓMINA Principal,Cuenta,No computable,Tarjeta crédito,Pago mensual tarjeta 5267xxxxxxxx3740 liquidacion al dia : 27.04.2022
29/04/22,,"723,12",EUR,Pago recibo mes anterior,Wizink,WiZink Oro,Tarjeta de crédito,No computable,Tarjeta crédito,
28/04/22,28/04/22,"256,42",EUR,Nomina recibida h. principe de asturias,Ing Direct,Cuenta NÓMINA Cotitular Claudia - Compra Casa,Cuenta,Ingreso,Nómina,Paga: actual mas atrasos
28/04/22,28/04/22,"-34.954,90",EUR,Traspaso emitido cuenta nómina,Ing Direct,Cuenta NARANJA,Cuenta,No computable,Traspasos y transferencias,Movimiento cuenta nómina
28/04/22,28/04/22,"-28.000,00",EUR,Transferencia emitida a javier hernando plazas becerra escruturacion casa,Ing Direct,Cuenta NÓMINA Principal,Cuenta,No computable,Traspasos y transferencias,Escruturacion casa
28/04/22,28/04/22,"34.954,90",EUR,Traspaso recibido cuenta nómina,Ing Direct,Cuenta NÓMINA Principal,Cuenta,No computable,Traspasos y transferencias,Movimiento cuenta nómina
28/04/22,,"-35,00",EUR,Pago en manuel lafuente,Ing Direct,Tarjeta Crédito,Tarjeta de crédito,Gasto,Estudios,Autorizacion
28/04/22,,"-15,44",EUR,Pago en avda union europea,Ing Direct,Tarjeta Claudia,Tarjeta de crédito,Gasto,Supermercado,Autorizacion
28/04/22,28/04/22,"28.000,00",EUR,Transf. javier hernando plazas be,Kutxabank,cuenta ahorro,Cuenta,No computable,Traspasos y transferencias,
28/04/22,,"-50,00",EUR,Estacion servicio meco,Wizink,WiZink Oro,Tarjeta de crédito,Gasto,Gasolina,
